"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Sep 26 19:03:01 IST 2022","Mon Sep 26 19:03:01 IST 2022","1","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is th when ""Thai"" is clicked and Thai tokens are displayed","Verify the cookie is th when ""Thai"" is clicked and Thai tokens are displayed",""
"passed","Mon Sep 26 19:02:51 IST 2022","Mon Sep 26 19:02:56 IST 2022","4463","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is ko when ""Korean"" is clicked and Korean tokens are displayed","Verify the cookie is ko when ""Korean"" is clicked and Korean tokens are displayed",""
"passed","Mon Sep 26 19:02:48 IST 2022","Mon Sep 26 19:02:51 IST 2022","3191","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is fr when ""French"" is clicked and French tokens are displayed","Verify the cookie is fr when ""French"" is clicked and French tokens are displayed",""
"passed","Mon Sep 26 19:02:39 IST 2022","Mon Sep 26 19:02:42 IST 2022","3109","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is tr when ""Turkish"" is clicked and Turkish tokens are displayed","Verify the cookie is tr when ""Turkish"" is clicked and Turkish tokens are displayed",""
"passed","Mon Sep 26 19:03:04 IST 2022","Mon Sep 26 19:03:05 IST 2022","965","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify locale selection map icon is visible and enabled","Verify locale selection map icon is visible and enabled",""
"passed","Mon Sep 26 19:02:26 IST 2022","Mon Sep 26 19:02:31 IST 2022","4860","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is es when ""Spanish"" is clicked and Spanish tokens are displayed","Verify the cookie is es when ""Spanish"" is clicked and Spanish tokens are displayed",""
"passed","Mon Sep 26 19:02:13 IST 2022","Mon Sep 26 19:02:19 IST 2022","6181","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify 14 Language buttons available","Verify 14 Language buttons available",""
"passed","Mon Sep 26 19:02:42 IST 2022","Mon Sep 26 19:02:45 IST 2022","3144","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is ""zh"" when ""Chinese"" is clicked and Chinese tokens are displayed","Verify the cookie is ""zh"" when ""Chinese"" is clicked and Chinese tokens are displayed",""
"passed","Mon Sep 26 19:02:31 IST 2022","Mon Sep 26 19:02:35 IST 2022","4613","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is ""IT"" when ""Italian"" is clicked and Italian tokens are displayed","Verify the cookie is ""IT"" when ""Italian"" is clicked and Italian tokens are displayed",""
"passed","Mon Sep 26 19:02:35 IST 2022","Mon Sep 26 19:02:39 IST 2022","3416","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is de when ""German"" is clicked and German tokens are displayed","Verify the cookie is de when ""German"" is clicked and German tokens are displayed",""
"skipped","Mon Sep 26 19:03:01 IST 2022","Mon Sep 26 19:03:01 IST 2022","0","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is ar when ""Arabic"" is clicked and Arabic tokens are displayed","Verify the cookie is ar when ""Arabic"" is clicked and Arabic tokens are displayed",""
"passed","Mon Sep 26 19:03:06 IST 2022","Mon Sep 26 19:03:08 IST 2022","2785","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify user is able to switch language from hamburger menu","Verify user is able to switch language from hamburger menu",""
"passed","Mon Sep 26 19:03:01 IST 2022","Mon Sep 26 19:03:04 IST 2022","3236","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is ja when ""Japanese"" is clicked and Japanese tokens are displayed","Verify the cookie is ja when ""Japanese"" is clicked and Japanese tokens are displayed",""
"passed","Mon Sep 26 19:02:23 IST 2022","Mon Sep 26 19:02:26 IST 2022","3293","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is pt when ""Portuguese"" is clicked and Portuguese tokens are displayed and check URL","Verify the cookie is pt when ""Portuguese"" is clicked and Portuguese tokens are displayed and check URL",""
"passed","Mon Sep 26 19:03:14 IST 2022","Mon Sep 26 19:03:34 IST 2022","19448","","Navigate and check CN locale on staging","","Navigate and check CN locale on staging","Navigate to China locale on staging and verify url","Navigate to China locale on staging and verify url",""
"passed","Mon Sep 26 19:03:08 IST 2022","Mon Sep 26 19:03:14 IST 2022","5925","","Navigate and check CN locale on staging","","Navigate and check CN locale on staging","Verify option to navigate site for China Users","Verify option to navigate site for China Users",""
"passed","Mon Sep 26 19:02:45 IST 2022","Mon Sep 26 19:02:48 IST 2022","3153","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is ru when ""Russian"" is clicked and Russian tokens are displayed","Verify the cookie is ru when ""Russian"" is clicked and Russian tokens are displayed",""
"passed","Mon Sep 26 19:02:19 IST 2022","Mon Sep 26 19:02:23 IST 2022","3800","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is en when ""English"" is clicked and english tokens are displayed and check URL","Verify the cookie is en when ""English"" is clicked and english tokens are displayed and check URL",""
"passed","Mon Sep 26 19:03:05 IST 2022","Mon Sep 26 19:03:06 IST 2022","809","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify locale selection map icon is clickable","Verify locale selection map icon is clickable",""
"passed","Mon Sep 26 19:02:56 IST 2022","Mon Sep 26 19:03:01 IST 2022","4731","","Navigate and different Locale selection","","Navigate and different Locale selection","Verify the cookie is pl when ""Polish"" is clicked and Polish tokens are displayed","Verify the cookie is pl when ""Polish"" is clicked and Polish tokens are displayed",""
