"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 01 03:10:16 UTC 2022","Thu Dec 01 03:10:19 UTC 2022","2882","","Create Shipment Scenarios Additional Assertion Part","","Create Shipment Scenarios Additional Assertion Part","Verify Humidity DropDown Shows Error Message","Verify Humidity DropDown Shows Error Message",""
"failed","Thu Dec 01 03:15:43 UTC 2022","Thu Dec 01 03:15:43 UTC 2022","81","","Timeline","","Timeline","Verify shipment details ‘Timeline’ Tab for Single trip/Multi trip tracker with pending status","Verify shipment details ‘Timeline’ Tab for Single trip/Multi trip tracker with pending status",""
"failed","Thu Dec 01 03:06:48 UTC 2022","Thu Dec 01 03:06:48 UTC 2022","217","","Verify Push Functionality","","Verify Push Functionality","Verify Change Customer Function For Delete Push Trip","Verify Change Customer Function For Delete Push Trip",""
"passed","Thu Dec 01 03:07:50 UTC 2022","Thu Dec 01 03:07:51 UTC 2022","777","","Create Shipment Scenarios Different Screen For Copy From And Share With Function","","Create Shipment Scenarios Different Screen For Copy From And Share With Function","Verify Create Shipment Button on header and click","Verify Create Shipment Button on header and click",""
"passed","Thu Dec 01 03:09:18 UTC 2022","Thu Dec 01 03:09:25 UTC 2022","6799","","Verify Timeline Tab For Multiple Shipments","","Verify Timeline Tab For Multiple Shipments","Verify shipment details ‘Timeline’ Tab with Completed Status For Multi Trip Tracker","Verify shipment details ‘Timeline’ Tab with Completed Status For Multi Trip Tracker",""
"failed","Thu Dec 01 03:06:47 UTC 2022","Thu Dec 01 03:06:47 UTC 2022","178","","Verify Push Functionality","","Verify Push Functionality","Verify Change Customer Function","Verify Change Customer Function",""
"passed","Thu Dec 01 03:13:14 UTC 2022","Thu Dec 01 03:13:26 UTC 2022","11325","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","Verify and click filter icon and select activated and not assigned shipment status and Try To Create a Shipment Form By Sending Blank Data","Verify and click filter icon and select activated and not assigned shipment status and Try To Create a Shipment Form By Sending Blank Data",""
"passed","Thu Dec 01 03:04:44 UTC 2022","Thu Dec 01 03:04:51 UTC 2022","6963","","Edit Shipment - In Progress","","Edit Shipment - In Progress","Verify Add New Stop For Edit Shipment With Add Location","Verify Add New Stop For Edit Shipment With Add Location",""
"passed","Thu Dec 01 03:05:19 UTC 2022","Thu Dec 01 03:05:33 UTC 2022","13303","","Hamburger Menu - Links Navigation","","Hamburger Menu - Links Navigation","Verify Training Centre","Verify Training Centre",""
"passed","Thu Dec 01 03:05:41 UTC 2022","Thu Dec 01 03:05:47 UTC 2022","6499","","Hamburger Menu - Links Navigation","","Hamburger Menu - Links Navigation","Verify Mandated Training Menu","Verify Mandated Training Menu",""
"failed","Thu Dec 01 03:11:46 UTC 2022","Thu Dec 01 03:11:53 UTC 2022","6404","","Sensor Chart Scenarios","","Sensor Chart Scenarios","Verify Shipments drop down functionality","Verify Shipments drop down functionality",""
"failed","Thu Dec 01 03:11:27 UTC 2022","Thu Dec 01 03:11:34 UTC 2022","6308","","Sensor Chart Scenarios","","Sensor Chart Scenarios","Verify Shipment details Sensor chart Min/Max chart values hyperlink functionality","Verify Shipment details Sensor chart Min/Max chart values hyperlink functionality",""
"passed","Thu Dec 01 03:08:54 UTC 2022","Thu Dec 01 03:08:55 UTC 2022","757","","Verify Close Shipment Functionality","","Verify Close Shipment Functionality","Verify Details Link To Be Displayed and Split It","Verify Details Link To Be Displayed and Split It",""
"failed","Thu Dec 01 03:05:47 UTC 2022","Thu Dec 01 03:05:57 UTC 2022","10205","","Hamburger Menu - Links Navigation","","Hamburger Menu - Links Navigation","Verify Import Locations Screen And Upload File","Verify Import Locations Screen And Upload File",""
"failed","Thu Dec 01 03:09:34 UTC 2022","Thu Dec 01 03:09:35 UTC 2022","376","","Verify Timeline Tab For Multiple Shipments","","Verify Timeline Tab For Multiple Shipments","Verify Close Form Function","Verify Close Form Function",""
"failed","Thu Dec 01 03:12:19 UTC 2022","Thu Dec 01 03:12:25 UTC 2022","6330","","Sensor Chart Scenarios","","Sensor Chart Scenarios","Verify MT Shipment  details for Humidity Sensor checkbox functionality with chart’","Verify MT Shipment  details for Humidity Sensor checkbox functionality with chart’",""
"passed","Thu Dec 01 03:10:09 UTC 2022","Thu Dec 01 03:10:16 UTC 2022","7108","","Create Shipment Scenarios Additional Assertion Part","","Create Shipment Scenarios Additional Assertion Part","Verify Temperature Range Drop Down Display Error Message","Verify Temperature Range Drop Down Display Error Message",""
"failed","Thu Dec 01 03:09:30 UTC 2022","Thu Dec 01 03:09:32 UTC 2022","1173","","Verify Timeline Tab For Multiple Shipments","","Verify Timeline Tab For Multiple Shipments","Verify shipment details ‘Timeline’ Tab with Completed Status For Single Trip Tracker And Status Should Be Completed","Verify shipment details ‘Timeline’ Tab with Completed Status For Single Trip Tracker And Status Should Be Completed",""
"failed","Thu Dec 01 03:14:08 UTC 2022","Thu Dec 01 03:14:09 UTC 2022","1453","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","","Verify Create Shipment For MultiTrip Activated Not Assigned Status Shipments","Verify Newly Created Shipment Able to Find Or Not And Make Delete Action on it","Verify Newly Created Shipment Able to Find Or Not And Make Delete Action on it",""
"passed","Thu Dec 01 03:03:38 UTC 2022","Thu Dec 01 03:03:47 UTC 2022","9573","","Delete shipment","","Delete shipment","Delete Shipment Screen","Delete Shipment Screen",""
"passed","Thu Dec 01 03:10:03 UTC 2022","Thu Dec 01 03:10:07 UTC 2022","4687","","Create Shipment Scenarios Additional Assertion Part","","Create Shipment Scenarios Additional Assertion Part","Verify Shipment Template Checkbox Ticked and After Click on Submit Button Validation Message Should Reflect In Front Of Shipment Template Name","Verify Shipment Template Checkbox Ticked and After Click on Submit Button Validation Message Should Reflect In Front Of Shipment Template Name",""
"passed","Thu Dec 01 03:07:17 UTC 2022","Thu Dec 01 03:07:42 UTC 2022","25608","","Create Shipment Scenarios Different Screen For Copy From And Share With Function","","Create Shipment Scenarios Different Screen For Copy From And Share With Function","Verify Select Customer In Share With Drop Down","Verify Select Customer In Share With Drop Down",""
"failed","Thu Dec 01 03:11:21 UTC 2022","Thu Dec 01 03:11:27 UTC 2022","6298","","Sensor Chart Scenarios","","Sensor Chart Scenarios","Verify shipment details Sensor chart  Tab Email download","Verify shipment details Sensor chart  Tab Email download",""
"failed","Thu Dec 01 03:11:53 UTC 2022","Thu Dec 01 03:11:59 UTC 2022","6391","","Sensor Chart Scenarios","","Sensor Chart Scenarios","Verify the label colors displayed on the chart","Verify the label colors displayed on the chart",""
"passed","Thu Dec 01 03:04:36 UTC 2022","Thu Dec 01 03:04:44 UTC 2022","7914","","Edit Shipment - In Progress","","Edit Shipment - In Progress","Verify Add New Stop Using Air Fright Menu","Verify Add New Stop Using Air Fright Menu",""
"failed","Thu Dec 01 03:09:29 UTC 2022","Thu Dec 01 03:09:30 UTC 2022","1200","","Verify Timeline Tab For Multiple Shipments","","Verify Timeline Tab For Multiple Shipments","Verify shipment details ‘Timeline’ Tab with Another Shipment Associated With The Same Tracker Using Shipments Dropdown_Completed Status Shipments For Multi Trip Tracker","Verify shipment details ‘Timeline’ Tab with Another Shipment Associated With The Same Tracker Using Shipments Dropdown_Completed Status Shipments For Multi Trip Tracker",""
"failed","Thu Dec 01 03:04:32 UTC 2022","Thu Dec 01 03:04:33 UTC 2022","186","","Edit Shipment - In Progress","","Edit Shipment - In Progress","Verify In Progress Shipment Details Edit Function","Verify In Progress Shipment Details Edit Function",""
"failed","Thu Dec 01 03:12:52 UTC 2022","Thu Dec 01 03:12:52 UTC 2022","907","","Create Shipment from Shipment Details - Left Pane","","Create Shipment from Shipment Details - Left Pane","Verify 'List View Details' screen","Verify 'List View Details' screen",""
"failed","Thu Dec 01 03:15:43 UTC 2022","Thu Dec 01 03:15:43 UTC 2022","4","","Timeline","","Timeline","Click on View current location","Click on View current location",""
"failed","Thu Dec 01 03:11:08 UTC 2022","Thu Dec 01 03:11:15 UTC 2022","6302","","Sensor Chart Scenarios","","Sensor Chart Scenarios","Verify shipment details Sensor chart  ‘Tab pdf download","Verify shipment details Sensor chart  ‘Tab pdf download",""
