"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 31 04:30:22 UTC 2022","Mon Oct 31 04:30:22 UTC 2022","157","","Scoreboards","","Scoreboards","Verify Manage Edit Functionality","Verify Manage Edit Functionality",""
"failed","Mon Oct 31 04:18:03 UTC 2022","Mon Oct 31 04:18:03 UTC 2022","175","","Split details","","Split details","Verify close button popup is displayed on click in details dropdown","Verify close button popup is displayed on click in details dropdown",""
"passed","Mon Oct 31 04:09:21 UTC 2022","Mon Oct 31 04:09:26 UTC 2022","5122","","Live Chat - UnAuthorized","","Live Chat - UnAuthorized","Verify unauthorized Live Chat button is present, enabled and displayed","Verify unauthorized Live Chat button is present, enabled and displayed",""
"passed","Mon Oct 31 04:17:54 UTC 2022","Mon Oct 31 04:17:55 UTC 2022","446","","Split details","","Split details","Verify Activated not Assigned status details Dropdown should be opened with list of options","Verify Activated not Assigned status details Dropdown should be opened with list of options",""
"passed","Mon Oct 31 04:23:40 UTC 2022","Mon Oct 31 04:23:47 UTC 2022","7903","","Schedule Reports","","Schedule Reports","Verify Edit template for trip end summary","Verify Edit template for trip end summary",""
"passed","Mon Oct 31 04:07:38 UTC 2022","Mon Oct 31 04:07:39 UTC 2022","665","","Locale Navigation","","Locale Navigation","Verify 14 Language buttons available","Verify 14 Language buttons available",""
"passed","Mon Oct 31 04:15:18 UTC 2022","Mon Oct 31 04:15:18 UTC 2022","167","","Historical Shipments","","Historical Shipments","Verify pagination for tracker with Activated not Assigned status for page","Verify pagination for tracker with Activated not Assigned status for page",""
"failed","Mon Oct 31 04:07:20 UTC 2022","Mon Oct 31 04:07:24 UTC 2022","3667","","Track Your Shipment - Authorized User","","Track Your Shipment - Authorized User","Verify update all address fields is filled in list view","Verify update all address fields is filled in list view",""
"failed","Mon Oct 31 04:30:21 UTC 2022","Mon Oct 31 04:30:21 UTC 2022","181","","Scoreboards","","Scoreboards","Verify Selected dashboard should be populated on the dropdown","Verify Selected dashboard should be populated on the dropdown",""
"passed","Mon Oct 31 04:04:55 UTC 2022","Mon Oct 31 04:05:00 UTC 2022","5498","","Validate Create Shipment Page","","Validate Create Shipment Page","Verify Validation message , when user passes the blank data and submit","Verify Validation message , when user passes the blank data and submit",""
